"IDCREDITO","Duracao","HistoricoCredito","Proposito","Valor","Investimentos","Emprego","TempoParcelamento","EstadoCivil","FiadorTerceiros","ResidenciaDesde","Idade","OutrosFinanciamentos","Habitacao","EmprestimoExistente","Profissao","Dependentes","SocioEmpresa","Status","proposta","financiamentos","profissao","emprego","histcredito","fiador","residencia","estadocivil","investimentos"
263,18,1,4,5302,2,2,2,4,3,4,36,3,2,3,1,1,1,1,"veiculo novo","nenhum","altamente qualificado/empresario",">=7","Critico-outros creditos","nao","de graca","Viuvo","<100\\n"
264,12,1,2,2748,2,2,2,1,3,4,57,1,2,3,3,1,0,1,"educacao","banco","nao qualificado",">=7","Critico-outros creditos","nao","de graca","Solteiro","<100\\n"
265,10,1,4,1231,2,2,3,4,3,4,32,3,1,2,3,2,0,1,"veiculo novo","nenhum","nao qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
266,15,2,1,802,2,2,4,4,3,3,37,3,1,1,4,2,0,0,"reforma","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Viuvo","<100\\n"
267,36,1,6,6304,1,2,4,4,3,4,36,3,1,2,4,1,0,1,"abrir negocio","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","Desconhecido\\n"
268,24,2,1,1533,2,1,4,1,3,3,38,2,1,1,4,1,1,1,"reforma","loja","qualificado","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
269,14,2,4,8978,2,2,1,2,3,4,45,3,1,1,1,1,1,0,"veiculo novo","nenhum","altamente qualificado/empresario",">=7","existentes/pagos","nao","proria","Casado","<100\\n"
271,18,2,4,2662,1,4,4,4,3,3,32,3,1,1,4,1,0,1,"veiculo novo","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
272,12,1,3,1402,3,4,3,1,3,4,37,3,3,1,4,1,1,1,"moveis","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","alugada","Solteiro","500<=X<1000"
273,48,5,4,12169,1,5,4,4,2,4,36,3,2,1,1,1,1,1,"veiculo novo","nenhum","altamente qualificado/empresario","Desempregado","todos pagos","co requerente","de graca","Viuvo","Desconhecido\\n"
274,48,2,1,3060,2,4,4,4,3,4,28,3,1,2,4,1,0,0,"reforma","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
275,30,2,8,11998,2,1,1,2,3,1,34,3,1,1,3,1,1,0,"reforma casa","nenhum","nao qualificado","<1","existentes/pagos","nao","proria","Casado","<100\\n"
276,9,2,1,2697,2,3,1,4,3,2,32,3,1,1,4,2,0,1,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
277,18,1,1,2404,2,3,2,1,3,2,26,3,1,2,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
278,12,2,3,1262,1,2,2,2,3,4,49,3,1,1,3,1,1,1,"moveis","nenhum","nao qualificado",">=7","existentes/pagos","nao","proria","Casado","Desconhecido\\n"
279,6,2,3,4611,2,1,1,1,3,4,32,3,1,1,4,1,0,0,"moveis","nenhum","qualificado","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
280,24,2,1,1901,5,3,4,4,3,4,29,3,3,1,1,1,1,1,"reforma","nenhum","altamente qualificado/empresario","1<=X<4","existentes/pagos","nao","alugada","Viuvo","100<=X<500"
281,15,1,5,3368,4,2,3,4,3,4,23,3,3,2,4,1,1,1,"veiculo usado","nenhum","qualificado",">=7","Critico-outros creditos","nao","alugada","Viuvo",">=1000"
283,18,5,1,1445,1,4,4,4,3,4,49,1,1,1,3,1,0,1,"reforma","banco","nao qualificado","4<=X<7","todos pagos","nao","proria","Viuvo","Desconhecido\\n"
284,15,1,3,1520,1,2,4,4,3,4,63,3,1,1,4,1,0,1,"moveis","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","Desconhecido\\n"
285,24,1,4,3878,5,1,4,2,3,2,37,3,1,1,4,1,1,1,"veiculo novo","nenhum","qualificado","<1","Critico-outros creditos","nao","proria","Casado","100<=X<500"
286,47,2,4,10722,2,1,1,1,3,1,35,3,1,1,3,1,1,1,"veiculo novo","nenhum","nao qualificado","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
287,48,2,5,4788,2,4,4,4,3,3,26,3,1,1,4,2,0,1,"veiculo usado","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
290,24,3,1,1024,2,1,4,3,3,4,48,2,1,1,4,1,0,0,"reforma","loja","qualificado","<1","Atrasos anteriores","nao","proria","Divorciado","<100\\n"
291,12,2,6,1076,2,3,2,3,3,2,26,3,1,1,4,1,1,1,"abrir negocio","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Divorciado","<100\\n"
292,36,2,5,9398,2,1,1,3,3,4,28,3,3,1,1,1,1,0,"veiculo usado","nenhum","altamente qualificado/empresario","<1","existentes/pagos","nao","alugada","Divorciado","<100\\n"
293,24,1,5,6419,2,2,2,1,3,4,44,3,2,2,1,2,1,1,"veiculo usado","nenhum","altamente qualificado/empresario",">=7","Critico-outros creditos","nao","de graca","Solteiro","<100\\n"
294,42,1,5,4796,2,2,4,4,3,4,56,3,2,1,4,1,0,1,"veiculo usado","nenhum","qualificado",">=7","Critico-outros creditos","nao","de graca","Viuvo","<100\\n"
295,48,1,6,7629,1,2,4,2,3,2,46,1,1,2,1,2,0,1,"abrir negocio","banco","altamente qualificado/empresario",">=7","Critico-outros creditos","nao","proria","Casado","Desconhecido\\n"
296,48,2,3,9960,2,1,1,1,3,2,26,3,1,1,4,1,1,0,"moveis","nenhum","qualificado","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
298,10,2,4,1287,1,2,4,4,2,2,45,3,1,1,3,1,0,1,"veiculo novo","nenhum","nao qualificado",">=7","existentes/pagos","co requerente","proria","Viuvo","Desconhecido\\n"
299,18,2,3,2515,2,3,3,4,3,4,43,3,1,1,4,1,1,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
300,21,1,3,2745,4,4,3,4,3,2,32,3,1,2,4,1,1,1,"moveis","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","proria","Viuvo",">=1000"
301,6,2,4,672,2,5,1,1,3,4,54,3,1,1,2,1,1,1,"veiculo novo","nenhum","desempregado","Desempregado","existentes/pagos","nao","proria","Solteiro","<100\\n"
302,36,4,1,3804,2,3,4,1,3,1,42,3,1,1,4,1,1,0,"reforma","nenhum","qualificado","1<=X<4","sem creditos/todos pagos","nao","proria","Solteiro","<100\\n"
303,24,1,4,1344,1,4,4,4,3,2,37,1,1,2,3,2,0,0,"veiculo novo","banco","nao qualificado","4<=X<7","Critico-outros creditos","nao","proria","Viuvo","Desconhecido\\n"
304,10,1,4,1038,2,4,4,4,2,3,49,3,1,2,4,1,1,1,"veiculo novo","nenhum","qualificado","4<=X<7","Critico-outros creditos","co requerente","proria","Viuvo","<100\\n"
305,48,1,4,10127,3,3,2,4,3,2,44,1,2,1,4,1,0,0,"veiculo novo","banco","qualificado","1<=X<4","Critico-outros creditos","nao","de graca","Viuvo","500<=X<1000"
306,6,2,3,1543,4,3,4,2,3,2,33,3,1,1,4,1,0,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Casado",">=1000"
307,30,2,5,4811,1,4,2,1,3,4,24,2,3,1,3,1,0,1,"veiculo usado","loja","nao qualificado","4<=X<7","existentes/pagos","nao","alugada","Solteiro","Desconhecido\\n"
308,12,2,1,727,5,1,4,3,3,3,33,3,1,1,3,1,1,0,"reforma","nenhum","nao qualificado","<1","existentes/pagos","nao","proria","Divorciado","100<=X<500"
309,8,2,3,1237,2,3,3,1,3,4,24,3,1,1,4,1,0,0,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","<100\\n"
310,9,2,4,276,2,3,4,3,3,4,22,3,3,1,3,1,0,1,"veiculo novo","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","alugada","Divorciado","<100\\n"
311,48,2,9,5381,1,5,3,4,3,4,40,1,2,1,2,1,1,1,"outros","banco","desempregado","Desempregado","existentes/pagos","nao","de graca","Viuvo","Desconhecido\\n"
312,24,2,3,5511,5,3,4,4,3,1,25,2,1,1,4,1,0,1,"moveis","loja","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","100<=X<500"
313,24,2,3,3749,2,1,2,1,3,4,26,3,1,1,4,1,0,1,"moveis","nenhum","qualificado","<1","existentes/pagos","nao","proria","Solteiro","<100\\n"
314,12,2,4,685,2,4,2,3,3,3,25,1,1,1,3,1,0,0,"veiculo novo","banco","nao qualificado","4<=X<7","existentes/pagos","nao","proria","Divorciado","<100\\n"
315,4,2,4,1494,1,1,1,4,3,2,29,3,1,1,3,2,0,1,"veiculo novo","nenhum","nao qualificado","<1","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
1,6,0,1,1169,1,NULL,4,4,3,4,67,3,1,2,4,1,1,1,"reforma","nenhum","qualificado",NULL,NULL,"nao","proria","Viuvo","Desconhecido\\n"
316,36,5,3,2746,2,2,4,4,3,4,31,1,1,1,4,1,0,0,"moveis","banco","qualificado",">=7","todos pagos","nao","proria","Viuvo","<100\\n"
317,12,2,3,708,2,3,2,4,4,3,38,3,1,1,3,2,0,1,"moveis","nenhum","nao qualificado","1<=X<4","existentes/pagos","sim","proria","Viuvo","<100\\n"
318,24,2,3,4351,1,3,1,1,3,4,48,3,1,1,3,1,1,1,"moveis","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","Desconhecido\\n"
319,12,1,2,701,2,3,4,4,3,2,32,3,1,2,4,1,0,1,"educacao","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
320,15,3,3,3643,2,2,1,1,3,4,27,3,1,2,3,1,0,1,"moveis","nenhum","nao qualificado",">=7","Atrasos anteriores","nao","proria","Solteiro","<100\\n"
321,30,1,4,4249,2,5,4,3,3,2,28,3,1,2,1,1,0,0,"veiculo novo","nenhum","altamente qualificado/empresario","Desempregado","Critico-outros creditos","nao","proria","Divorciado","<100\\n"
322,24,2,1,1938,2,1,4,2,3,3,32,3,1,1,4,1,0,0,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","proria","Casado","<100\\n"
323,24,2,5,2910,2,4,2,4,3,1,34,3,2,1,1,1,1,1,"veiculo usado","nenhum","altamente qualificado/empresario","4<=X<7","existentes/pagos","nao","de graca","Viuvo","<100\\n"
324,18,2,3,2659,4,3,4,4,3,2,28,3,1,1,4,1,0,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo",">=1000"
325,18,1,4,1028,2,3,4,1,3,3,36,3,1,2,4,1,0,1,"veiculo novo","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
326,8,1,4,3398,2,4,1,4,3,4,39,3,1,2,3,1,0,1,"veiculo novo","nenhum","nao qualificado","4<=X<7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
327,12,1,3,5801,1,2,2,4,3,4,49,3,3,1,4,1,1,1,"moveis","nenhum","qualificado",">=7","Critico-outros creditos","nao","alugada","Viuvo","Desconhecido\\n"
328,24,2,4,1525,4,4,4,1,3,3,34,3,1,1,4,2,1,1,"veiculo novo","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Solteiro",">=1000"
329,36,2,1,4473,2,2,4,4,3,2,31,3,1,1,4,1,0,1,"reforma","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Viuvo","<100\\n"
330,6,2,1,1068,2,2,4,4,3,4,28,3,1,1,4,2,0,1,"reforma","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Viuvo","<100\\n"
331,24,1,5,6615,2,5,2,4,3,4,75,3,2,2,1,1,1,1,"veiculo usado","nenhum","altamente qualificado/empresario","Desempregado","Critico-outros creditos","nao","de graca","Viuvo","<100\\n"
332,18,1,2,1864,5,3,4,1,3,2,30,3,1,2,4,1,0,0,"educacao","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","100<=X<500"
333,60,2,4,7408,5,1,4,1,3,2,24,3,1,1,1,1,0,0,"veiculo novo","nenhum","altamente qualificado/empresario","<1","existentes/pagos","nao","proria","Solteiro","100<=X<500"
334,48,1,5,11590,5,3,2,1,3,4,24,1,3,2,3,1,0,0,"veiculo usado","banco","nao qualificado","1<=X<4","Critico-outros creditos","nao","alugada","Solteiro","100<=X<500"
335,24,4,3,4110,2,2,3,4,3,4,23,1,3,2,4,2,0,0,"moveis","banco","qualificado",">=7","sem creditos/todos pagos","nao","alugada","Viuvo","<100\\n"
336,6,1,3,3384,2,3,1,2,3,4,44,3,3,1,1,1,1,0,"moveis","nenhum","altamente qualificado/empresario","1<=X<4","Critico-outros creditos","nao","alugada","Casado","<100\\n"
337,13,2,1,2101,2,1,2,1,4,4,23,3,1,1,3,1,0,1,"reforma","nenhum","nao qualificado","<1","existentes/pagos","sim","proria","Solteiro","<100\\n"
338,15,2,7,1275,1,3,4,1,3,2,24,3,3,1,4,1,0,0,"quitar divida","nenhum","qualificado","1<=X<4","existentes/pagos","nao","alugada","Solteiro","Desconhecido\\n"
339,24,2,3,4169,2,3,4,4,3,4,28,3,1,1,4,1,0,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","<100\\n"
340,10,2,3,1521,2,3,4,2,3,2,31,3,1,1,3,1,0,1,"moveis","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","proria","Casado","<100\\n"
341,24,1,2,5743,2,1,2,1,3,4,24,3,2,2,4,1,1,1,"educacao","nenhum","qualificado","<1","Critico-outros creditos","nao","de graca","Solteiro","<100\\n"
342,21,2,3,3599,2,4,1,1,3,4,26,3,3,1,3,1,0,1,"moveis","nenhum","nao qualificado","4<=X<7","existentes/pagos","nao","alugada","Solteiro","<100\\n"
343,18,2,1,3213,3,1,1,3,3,3,25,3,3,1,4,1,0,1,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","alugada","Divorciado","500<=X<1000"
344,18,2,6,4439,2,2,1,4,2,1,33,1,1,1,1,1,1,1,"abrir negocio","banco","altamente qualificado/empresario",">=7","existentes/pagos","co requerente","proria","Viuvo","<100\\n"
345,10,2,4,3949,2,1,1,4,4,1,37,3,1,1,3,2,0,1,"veiculo novo","nenhum","nao qualificado","<1","existentes/pagos","sim","proria","Viuvo","<100\\n"
346,15,1,1,1459,2,3,4,1,3,2,43,3,1,1,3,1,0,1,"reforma","nenhum","nao qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
347,13,1,1,882,2,1,4,4,4,4,23,3,1,2,4,1,0,1,"reforma","nenhum","qualificado","<1","Critico-outros creditos","sim","proria","Viuvo","<100\\n"
348,24,2,1,3758,3,5,1,1,3,4,23,3,3,1,2,1,0,1,"reforma","nenhum","desempregado","Desempregado","existentes/pagos","nao","alugada","Solteiro","500<=X<1000"
349,6,3,6,1743,5,3,1,4,3,2,34,3,1,2,3,1,0,1,"abrir negocio","nenhum","nao qualificado","1<=X<4","Atrasos anteriores","nao","proria","Viuvo","100<=X<500"
351,9,2,7,1236,2,1,1,1,3,4,23,3,3,1,4,1,1,1,"quitar divida","nenhum","qualificado","<1","existentes/pagos","nao","alugada","Solteiro","<100\\n"
352,9,2,3,959,2,3,1,1,3,2,29,3,1,1,4,1,0,0,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","<100\\n"
908,36,2,2,3711,1,3,2,3,3,2,27,3,1,1,4,1,0,1,"educacao","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Divorciado","Desconhecido\\n"
353,18,1,5,3229,1,5,2,4,3,4,38,3,1,1,1,1,1,1,"veiculo usado","nenhum","altamente qualificado/empresario","Desempregado","Critico-outros creditos","nao","proria","Viuvo","Desconhecido\\n"
354,12,4,1,6199,2,3,4,4,3,2,28,3,3,2,4,1,1,0,"reforma","nenhum","qualificado","1<=X<4","sem creditos/todos pagos","nao","alugada","Viuvo","<100\\n"
355,10,2,2,727,3,2,4,4,3,4,46,3,2,1,4,1,1,1,"educacao","nenhum","qualificado",">=7","existentes/pagos","nao","de graca","Viuvo","500<=X<1000"
357,12,1,1,2331,1,2,1,4,2,4,49,3,1,1,4,1,1,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","co requerente","proria","Viuvo","Desconhecido\\n"
358,36,3,1,4463,2,3,4,4,3,2,26,3,1,2,1,1,1,0,"reforma","nenhum","altamente qualificado/empresario","1<=X<4","Atrasos anteriores","nao","proria","Viuvo","<100\\n"
359,12,2,1,776,2,3,4,3,3,2,28,3,1,1,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Divorciado","<100\\n"
360,30,2,3,2406,2,4,4,1,3,4,23,3,3,1,4,1,0,0,"moveis","nenhum","qualificado","4<=X<7","existentes/pagos","nao","alugada","Solteiro","<100\\n"
361,18,2,2,1239,1,3,4,4,3,4,61,3,2,1,4,1,0,1,"educacao","nenhum","qualificado","1<=X<4","existentes/pagos","nao","de graca","Viuvo","Desconhecido\\n"
362,12,2,1,3399,1,2,2,4,3,3,37,3,1,1,1,1,0,1,"reforma","nenhum","altamente qualificado/empresario",">=7","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
363,12,3,4,2247,2,3,2,1,3,2,36,2,1,2,4,1,1,1,"veiculo novo","loja","qualificado","1<=X<4","Atrasos anteriores","nao","proria","Solteiro","<100\\n"
364,6,2,3,1766,2,3,1,3,3,2,21,3,3,1,4,1,0,1,"moveis","nenhum","qualificado","1<=X<4","existentes/pagos","nao","alugada","Divorciado","<100\\n"
365,18,2,3,2473,2,5,4,4,3,1,25,3,1,1,2,1,0,0,"moveis","nenhum","desempregado","Desempregado","existentes/pagos","nao","proria","Viuvo","<100\\n"
366,12,2,6,1542,2,4,2,4,3,4,36,3,1,1,4,1,1,1,"abrir negocio","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","<100\\n"
367,18,1,5,3850,2,4,3,4,3,1,27,3,1,2,4,1,0,1,"veiculo usado","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
368,18,2,3,3650,2,1,1,1,3,4,22,3,3,1,4,1,0,1,"moveis","nenhum","qualificado","<1","existentes/pagos","nao","alugada","Solteiro","<100\\n"
369,36,2,3,3446,2,2,4,4,3,2,42,3,1,1,4,2,0,0,"moveis","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Viuvo","<100\\n"
370,18,2,3,3001,2,4,2,1,3,4,40,3,3,1,4,1,0,1,"moveis","nenhum","qualificado","4<=X<7","existentes/pagos","nao","alugada","Solteiro","<100\\n"
371,36,2,4,3079,1,3,4,4,3,4,36,3,1,1,4,1,0,1,"veiculo novo","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
372,18,1,1,6070,2,2,3,4,3,4,33,3,1,2,4,1,1,1,"reforma","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
373,10,1,3,2146,2,1,1,1,3,3,23,3,3,2,4,1,0,1,"moveis","nenhum","qualificado","<1","Critico-outros creditos","nao","alugada","Solteiro","<100\\n"
376,48,5,6,7685,2,4,2,1,4,4,37,3,3,1,4,1,0,0,"abrir negocio","nenhum","qualificado","4<=X<7","todos pagos","sim","alugada","Solteiro","<100\\n"
377,18,3,1,2320,2,5,2,3,3,3,34,3,1,2,4,1,0,1,"reforma","nenhum","qualificado","Desempregado","Atrasos anteriores","nao","proria","Divorciado","<100\\n"
378,7,3,1,846,1,2,3,4,3,4,36,3,2,1,4,1,0,1,"reforma","nenhum","qualificado",">=7","Atrasos anteriores","nao","de graca","Viuvo","Desconhecido\\n"
379,36,2,4,14318,2,2,4,4,3,2,57,3,2,1,1,1,1,0,"veiculo novo","nenhum","altamente qualificado/empresario",">=7","existentes/pagos","nao","de graca","Viuvo","<100\\n"
380,6,1,4,362,5,3,4,1,3,4,52,3,1,2,3,1,0,1,"veiculo novo","nenhum","nao qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","100<=X<500"
381,20,2,3,2212,1,4,4,4,3,4,39,3,1,1,4,1,1,1,"moveis","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
382,18,2,5,12976,2,5,3,1,3,4,38,3,2,1,1,1,1,0,"veiculo usado","nenhum","altamente qualificado/empresario","Desempregado","existentes/pagos","nao","de graca","Solteiro","<100\\n"
383,22,2,4,1283,1,4,4,1,3,4,25,3,3,1,4,1,0,1,"veiculo novo","nenhum","qualificado","4<=X<7","existentes/pagos","nao","alugada","Solteiro","Desconhecido\\n"
384,12,2,4,1330,2,1,4,4,3,1,26,3,1,1,4,1,0,1,"veiculo novo","nenhum","qualificado","<1","existentes/pagos","nao","proria","Viuvo","<100\\n"
385,30,3,6,4272,5,3,2,4,3,2,26,3,1,2,3,1,0,1,"abrir negocio","nenhum","nao qualificado","1<=X<4","Atrasos anteriores","nao","proria","Viuvo","100<=X<500"
386,18,1,1,2238,2,3,2,1,3,1,25,3,1,2,4,1,0,1,"reforma","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
387,18,2,1,1126,1,1,4,1,3,2,21,3,3,1,4,1,1,1,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","alugada","Solteiro","Desconhecido\\n"
388,18,1,3,7374,2,5,4,4,3,4,40,2,1,2,1,1,1,1,"moveis","loja","altamente qualificado/empresario","Desempregado","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
389,15,1,6,2326,3,3,2,4,3,4,27,1,1,1,4,1,0,1,"abrir negocio","banco","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Viuvo","500<=X<1000"
390,9,2,6,1449,2,4,3,1,3,2,27,3,1,2,4,1,0,1,"abrir negocio","nenhum","qualificado","4<=X<7","existentes/pagos","nao","proria","Solteiro","<100\\n"
391,18,2,4,1820,2,3,2,3,3,2,30,3,1,1,1,1,1,1,"veiculo novo","nenhum","altamente qualificado/empresario","1<=X<4","existentes/pagos","nao","proria","Divorciado","<100\\n"
392,12,2,3,983,4,1,1,1,3,4,19,3,3,1,3,1,0,1,"moveis","nenhum","nao qualificado","<1","existentes/pagos","nao","alugada","Solteiro",">=1000"
393,36,2,4,3249,2,4,2,4,3,4,39,1,2,1,1,2,1,1,"veiculo novo","banco","altamente qualificado/empresario","4<=X<7","existentes/pagos","nao","de graca","Viuvo","<100\\n"
394,6,1,1,1957,2,4,1,1,3,4,31,3,1,1,4,1,0,1,"reforma","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","proria","Solteiro","<100\\n"
397,12,2,3,2578,2,5,3,1,3,4,55,3,2,1,1,1,0,1,"moveis","nenhum","altamente qualificado/empresario","Desempregado","existentes/pagos","nao","de graca","Solteiro","<100\\n"
398,36,1,3,2348,2,3,3,3,3,2,46,3,1,2,4,1,1,1,"moveis","nenhum","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Divorciado","<100\\n"
399,12,2,4,1223,2,2,1,2,3,1,46,3,3,2,4,1,0,0,"veiculo novo","nenhum","qualificado",">=7","existentes/pagos","nao","alugada","Casado","<100\\n"
400,24,1,1,1516,4,3,4,1,3,1,43,3,1,2,3,1,0,1,"reforma","nenhum","nao qualificado","1<=X<4","Critico-outros creditos","nao","proria","Solteiro",">=1000"
401,18,2,1,1473,2,1,3,3,3,4,39,3,1,1,4,1,1,1,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","proria","Divorciado","<100\\n"
402,18,1,6,1887,1,3,4,3,3,4,28,1,1,2,4,1,0,1,"abrir negocio","banco","qualificado","1<=X<4","Critico-outros creditos","nao","proria","Divorciado","Desconhecido\\n"
403,24,3,6,8648,2,1,2,4,3,2,27,1,1,2,4,1,1,0,"abrir negocio","banco","qualificado","<1","Atrasos anteriores","nao","proria","Viuvo","<100\\n"
404,14,3,4,802,2,3,4,4,3,2,27,3,1,2,3,1,0,1,"veiculo novo","nenhum","nao qualificado","1<=X<4","Atrasos anteriores","nao","proria","Viuvo","<100\\n"
412,33,1,5,7253,2,4,3,4,3,2,35,3,1,2,999,1,1,1,"veiculo usado","nenhum",NULL,"4<=X<7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
405,18,3,4,2899,1,2,4,4,3,4,43,3,1,1,4,2,0,1,"veiculo novo","nenhum","qualificado",">=7","Atrasos anteriores","nao","proria","Viuvo","Desconhecido\\n"
406,24,2,1,2039,2,1,1,3,3,1,22,3,1,1,4,1,1,0,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","proria","Divorciado","<100\\n"
407,24,1,5,2197,1,4,4,4,3,4,43,3,1,2,4,2,1,1,"veiculo usado","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","proria","Viuvo","Desconhecido\\n"
408,15,2,1,1053,2,1,4,3,3,2,27,3,1,1,4,1,0,1,"reforma","nenhum","qualificado","<1","existentes/pagos","nao","proria","Divorciado","<100\\n"
409,24,2,1,3235,3,2,3,2,3,2,26,3,1,1,1,1,1,1,"reforma","nenhum","altamente qualificado/empresario",">=7","existentes/pagos","nao","proria","Casado","500<=X<1000"
410,12,1,4,939,3,4,4,3,3,2,28,3,1,3,4,1,1,0,"veiculo novo","nenhum","qualificado","4<=X<7","Critico-outros creditos","nao","proria","Divorciado","500<=X<1000"
411,24,2,1,1967,2,2,4,1,3,4,20,3,1,1,4,1,1,1,"reforma","nenhum","qualificado",">=7","existentes/pagos","nao","proria","Solteiro","<100\\n"
413,12,1,6,2292,2,5,4,4,3,2,42,2,1,2,1,1,1,0,"abrir negocio","loja","altamente qualificado/empresario","Desempregado","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
414,10,2,4,1597,3,3,3,4,3,2,40,3,3,1,3,2,0,1,"veiculo novo","nenhum","nao qualificado","1<=X<4","existentes/pagos","nao","alugada","Viuvo","500<=X<1000"
415,24,2,4,1381,1,3,4,1,3,2,35,3,1,1,4,1,0,0,"veiculo novo","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","Desconhecido\\n"
416,36,1,5,5842,2,2,2,4,3,2,35,3,1,2,4,2,1,1,"veiculo usado","nenhum","qualificado",">=7","Critico-outros creditos","nao","proria","Viuvo","<100\\n"
417,12,2,4,2579,2,1,4,4,3,1,33,3,1,1,3,2,0,0,"veiculo novo","nenhum","nao qualificado","<1","existentes/pagos","nao","proria","Viuvo","<100\\n"
418,18,3,2,8471,1,3,1,1,3,2,23,3,3,2,4,1,1,1,"educacao","nenhum","qualificado","1<=X<4","Atrasos anteriores","nao","alugada","Solteiro","Desconhecido\\n"
419,21,2,4,2782,3,4,1,1,3,2,31,1,1,1,1,1,0,1,"veiculo novo","banco","altamente qualificado/empresario","4<=X<7","existentes/pagos","nao","proria","Solteiro","500<=X<1000"
420,18,2,4,1042,1,3,4,1,3,2,33,3,1,1,4,1,0,0,"veiculo novo","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Solteiro","Desconhecido\\n"
421,15,2,4,3186,4,4,2,1,3,3,20,3,3,1,4,1,0,1,"veiculo novo","nenhum","qualificado","4<=X<7","existentes/pagos","nao","alugada","Solteiro",">=1000"
422,12,2,5,2028,1,3,4,4,3,2,30,3,1,1,4,1,0,1,"veiculo usado","nenhum","qualificado","1<=X<4","existentes/pagos","nao","proria","Viuvo","Desconhecido\\n"
